zip,distanceFromNearestCenter,demandRegionLat,demandRegionLng,demand_score,nearestCenterCode
1431,16.907907061602995,42.67652,-71.82322,1213.6919484831699,BOS1
1590,30.843126218952168,42.13387,-71.75179,3935.036681303753,DBO2
2032,6.593742319089425,42.15489,-71.2155,2149.927391404454,DBO2
2671,51.422641612776765,41.66938,-70.11087,334.31932731703705,BOS7
2839,30.747038435431595,41.9433,-71.64581,709.7031946884111,BOS7
3780,88.48306843147864,44.03169,-71.97142,176.9104573322694,BOS1
4061,70.38086927912929,43.63409,-70.74312,1024.5333062868317,BOS1
4777,258.4108411562935,45.83515,-68.48952,131.22625479927802,BOS1
4938,147.3334411917717,44.65881,-70.10329,3616.7970131696547,BOS1
5158,52.33311373073862,43.10299,-72.47296,430.8938067421171,BOS1
5254,81.86626427925101,43.15937,-73.06911,132.42670647659534,BOS1
6752,25.260824808100946,41.52082,-73.35965,735.3836168325711,DBO3
7108,7.2554148881750455,40.72306,-74.20039,9304.381209857389,DYY6
7108,7.2554148881750455,40.72306,-74.20039,9304.381209857389,JFK8
7721,9.277280487715714,40.43556,-74.23555,2056.032579384522,LGA7
7721,9.277280487715714,40.43556,-74.23555,2056.032579384522,LGA8
7746,17.522733113168407,40.31675,-74.25029,8167.325068036141,LGA7
7746,17.522733113168407,40.31675,-74.25029,8167.325068036141,LGA8
7960,18.356015522106592,40.78452,-74.49813,24600.87810070784,EWR6
7960,18.356015522106592,40.78452,-74.49813,24600.87810070784,EWR7
8344,21.655850035321702,39.56707,-74.99185,1806.707685130127,ACY1
10803,13.543790172853944,40.89978,-73.80619,6463.9123539864195,EWR8
11719,30.915954062081752,40.77935,-72.91175,1238.7740546629846,DCN1
12045,70.15942357543018,42.47974,-73.79682,95.25215394927473,BDL1
12549,47.15410138561941,41.52957,-74.25843,4030.3643241049695,EWR8
13318,113.56345291005158,42.92366,-75.25958,337.0209646129999,VUGA
13622,191.763239803021,44.09654,-76.115,737.6648310151494,VUGA
14068,172.05660758467786,43.02696,-78.75808,3431.2907895792664,DCL1
14884,133.16783290613904,42.47613,-77.88724,116.99075703564992,VUGA
15469,45.92016125451308,40.01366,-79.41861,664.1074974179486,PIT1
15626,26.801449918650366,40.40868,-79.57592,2007.4928015245982,PIT1
16159,53.48143757477724,41.15967,-80.46858,1571.4194252461825,PIT1
