zip,distanceFromNearestCenter,demandRegionLat,demandRegionLng,demand_score,nearestCenterCode
1253,31.333454531795724,42.20751,-73.1118,396.60169198152045,BDL1
2564,67.07754640371837,41.26552,-69.98608,80.67813573759038,BOS7
3235,45.91646226544337,43.44831,-71.67208,3185.8827600673344,BOS1
4024,83.87932110828362,43.83556,-70.67701,113.02423974212975,BOS1
6351,43.30774115443458,41.58873,-71.94854,5696.416712794073,BDL1
7059,13.452074610460597,40.63199,-74.51463,7982.188605326104,EWR6
7059,13.452074610460597,40.63199,-74.51463,7982.188605326104,EWR7
7732,15.346398454409156,40.43115,-73.99192,2339.3822194277186,LGA7
7732,15.346398454409156,40.43115,-73.99192,2339.3822194277186,LGA8
10454,5.317399825532861,40.8056,-73.91664,12585.93524185718,JFK7
10578,24.663409016998934,41.31815,-73.673,1092.3504488555018,DCN1
10918,35.02875775980218,41.34816,-74.25828,5058.095446733521,EWR8
11514,18.05523447727783,40.74979,-73.61298,1801.2795429421938,UNY1
12041,80.52515910588929,42.55893,-73.97028,132.78702061460933,BDL1
12872,133.57521330729205,43.8839,-73.72309,0.0,BOS1
13334,104.1769843586255,42.83445,-75.65986,319.50995853888844,VUGA
14042,158.63856860661696,42.46882,-78.48377,1420.3258853455352,VUGA
14612,164.36616860903152,43.26513,-77.67654,13396.018251314,VUGA
14747,128.95498583142262,42.15346,-79.09061,664.1676252980242,PIT1
14807,123.90340590838069,42.41821,-77.71949,950.9325869724295,VUGA
15035,15.070785299942635,40.38488,-79.80726,740.8866814711463,PIT1
15211,3.6872784258152436,40.4302,-80.01533,5399.493496712601,PIT1
15727,41.25327870705438,40.56498,-79.31496,68.70474834245334,PIT1
16146,58.03378504477129,41.23478,-80.49932,4342.007936964354,CLE3
16331,64.55796457913496,41.29047,-79.56435,45.25491916989238,PIT1
16352,106.46252432812203,41.76615,-79.03644,52.43953224841063,PIT1
17038,34.136283507505894,40.46787,-76.54895,2950.825817829657,PHL4
17060,36.17397794445278,40.49144,-77.88158,364.3842155735015,VUGP
17081,2.463150925784924,40.20121,-77.28322,71.49786143154296,PHL6
17093,11.395453433315799,40.30998,-76.92817,301.5711409610747,PHL4
17094,25.31019935397685,40.58414,-77.2168,821.7249602509507,PHL4
18621,15.78428346292578,41.25441,-76.09129,1596.6316118295836,VUGA
19013,8.325706562479834,39.84529,-75.37474,11883.621289760129,ACY1
20184,22.56275626321282,39.00143,-77.87874,201.70715075868765,BWI4
20748,11.86715146356231,38.81692,-76.94124,15119.91929413919,RVA1
20771,9.05227321088973,39.00289,-76.85534,0.0,RVA1
22850,67.38842688169763,38.56668,-78.92048,421.70815715441233,BWI4
22853,57.42732546489652,38.65156,-78.76406,1471.5083981843745,BWI4
23315,27.048112416415087,36.73861,-76.84289,563.6169099153694,ORF1
23508,8.17344852773177,36.8844,-76.30898,8893.030639511728,ORF1
24440,96.42538311753087,37.99595,-79.16574,876.5758145048841,UVA3
24606,134.42711638973137,37.28814,-81.39183,87.2857090432285,CLT3
25185,144.08692665234443,38.22149,-81.23587,233.93483829292416,CMH2
26347,81.48624388695148,39.26371,-80.1261,694.413814615669,PIT1
26678,158.31687151181663,38.16883,-80.91085,384.65599861312154,CMH2
27007,65.93780689527728,36.38799,-80.59144,753.3949320428749,CLT3
27243,36.95667531316085,36.07821,-79.1945,1978.5135760269457,UNC2
27263,51.91008975022579,35.90931,-79.93829,6705.052809835826,CLT3
27852,53.44211396609957,35.75288,-77.63581,831.2852530711097,RDU1
28431,97.79700787587024,34.31661,-78.84397,1784.528634055121,RDU1
28771,85.53256570047313,35.34245,-83.8567,2163.103278381042,MGE1
28771,85.53256570047313,35.34245,-83.8567,2163.103278381042,MGE7
29728,45.0868679466486,34.76831,-80.40445,2863.5074614363693,CLT2
29745,21.357099462734144,34.99549,-81.21573,11731.750596669446,CLT2
30274,6.443099219434698,33.55583,-84.40091,11392.340804572095,DAT3
30504,12.872235568198633,34.26639,-83.88751,9037.509116728883,MGE1
30504,12.872235568198633,34.26639,-83.88751,9037.509116728883,MGE7
31005,68.63604257585702,32.54533,-83.59497,7916.0905974612015,VUPN
32061,56.463230633275195,30.08311,-82.51666,16.674925873407936,JAX1
32550,210.25357338611232,30.38541,-86.34438,3112.624118670702,BHM1
33140,4.779539023934223,25.81606,-80.13895,8525.969574940884,FFL2
33140,4.779539023934223,25.81606,-80.13895,8525.969574940884,RFL1
33407,58.727461672645354,26.75841,-80.09195,11048.306994287417,DM11
34109,89.2742148496422,26.24073,-81.76365,10056.680382777007,DSR1
35035,22.99596030084452,33.04423,-86.97149,276.08659526018636,BHM1
35544,70.51376424402007,33.95392,-88.02022,287.58212356267023,BHM1
35578,49.44401400467673,33.982,-87.46638,1655.3025328354208,BHM1
36606,197.59317339421085,30.67088,-88.10617,7000.3483298808305,BHM1
36867,79.16261659848614,32.49823,-85.02304,7726.585989204489,ATL7
36867,79.16261659848614,32.49823,-85.02304,7726.585989204489,VUAT
37140,52.87948801137749,35.86345,-87.65245,447.1452557310664,RTN1
37140,52.87948801137749,35.86345,-87.65245,447.1452557310664,UTN1
37381,83.55974543149468,35.68533,-84.8775,3056.9314572332237,BNA3
37402,77.78764094042883,35.04672,-85.31553,1855.0553640688981,BNA3
38029,16.49352749833563,35.24205,-89.82351,14.870089607138757,MEM5
38232,97.89150669852575,36.34828,-89.32295,628.1282574444314,MEM5
38852,96.54943403169182,34.84484,-88.21598,2670.539260187472,MEM5
39073,201.02870792004197,32.10269,-90.13049,7169.092346235587,MEM1
39482,204.03084072829796,31.37271,-89.57966,4148.580902994836,BHM1
42104,51.45243117528495,36.87718,-86.45233,15637.462471133966,BNA1
42715,26.642006317375177,36.94352,-85.4134,93.05652855095458,SDF1
43149,28.22611898569166,39.53742,-82.57188,648.2552999332985,CMH2
43154,17.34017117284253,39.60327,-82.82622,1226.2043819868109,CMH2
43724,75.16008274501802,39.73267,-81.5166,2579.251282778011,CMH2
