zip,distanceFromNearestCenter,demandRegionLat,demandRegionLng,demand_score,nearestCenterCode
1240,45.206850507210014,42.37567,-73.26466,1788.6296895651726,BDL1
2189,10.78132046990633,42.2111,-70.93135,5947.194083889871,DB02
2760,18.801469996840982,41.97004,-71.33586,12248.840561940495,BOS7
2817,30.660996003168915,41.6291,-71.66711,2764.3965000037474,BOS7
3875,78.43788789133419,43.89944,-71.18636,351.5171950318294,BOS1
5083,86.21682958207782,43.9184,-72.26782,51.548159015774594,BOS1
5439,143.3361886559064,44.49573,-73.16524,543.9489346218594,BOS1
5776,90.19098692133703,43.24494,-73.20392,100.90543541659305,BOS1
6032,12.571017265210383,41.72528,-72.83147,8452.112988433766,BDL1
6807,18.08963292298707,41.0611,-73.59215,3581.1443222997773,DCN1
7722,19.66324130113875,40.28765,-74.16745,4843.504311971072,LGA7
7722,19.66324130113875,40.28765,-74.16745,4843.504311971072,LGA8
7844,10.879072520448517,40.90861,-74.96961,52.57230152861104,DMC1
7881,9.78849801492025,41.12213,-74.93249,0.0,DMC1
10607,17.7906852358243,41.03949,-73.81214,2645.0755081670554,EWR8
12792,32.72736737335578,41.51447,-74.95172,64.89778206672838,AVP2
12792,32.72736737335578,41.51447,-74.95172,64.89778206672838,AVP3
13736,71.0597358471428,42.31722,-76.19389,667.2428447098708,VUGA
13807,96.36777873879876,42.61718,-74.98612,420.55365571088294,AVP2
13807,96.36777873879876,42.61718,-74.98612,420.55365571088294,AVP3
14167,162.07927940295315,42.74327,-78.32629,625.0926627288451,VUGA
14560,130.62819719470653,42.68716,-77.57691,841.1290669313665,VUGA
15142,4.488954105467398,40.38474,-80.12231,895.1236375382846,PIT1
15333,28.952175494539436,40.02693,-80.01429,603.497812811069,PIT1
15683,34.161487012178,40.10926,-79.60492,2651.949862697886,PIT1
16316,62.65255889014467,41.6012,-80.29958,1600.2700181513305,CLE3
16323,68.32767968339795,41.41286,-79.83047,4975.43408177214,PIT1
17981,36.5631904267145,40.63077,-76.39523,855.4730842667755,XUSG
19076,6.194236282501417,39.88586,-75.30763,2424.6569081696553,ACY1
20720,9.301552255745609,38.9971,-76.78588,11010.33334438113,SUOC
20784,7.226030765109341,38.95145,-76.89025,10476.819456967349,RVA1
20896,4.906989052230163,39.03521,-77.09494,567.6144783481243,DDC2
