zip,distanceFromNearestCenter,demandRegionLat,demandRegionLng,demand_score,nearestCenterCode
1128,18.48266241296054,42.09497,-72.48806,1123.4381917643113,BDL1
2558,23.04030445010193,41.74453,-70.65377,604.6330375042592,BOS7
2638,46.726758305256624,41.73225,-70.19459,1264.5646882952274,BOS7
2838,23.919057363846033,41.96552,-71.47628,1456.232456081556,BOS7
3456,41.83533792249102,43.13092,-72.21505,314.2475831369435,BOS1
4062,89.58951000956978,43.79798,-70.40547,7571.213183475972,BOS1
4263,125.25440089510435,44.29476,-70.13061,737.6838483520761,BOS1
4643,221.9999490491708,44.57876,-67.80562,287.68683972452754,DB01
4674,186.7605877262195,44.29347,-68.40883,90.91764289207308,DB01
5253,80.76514115870556,43.25235,-72.99913,206.16610455302063,BOS1
6068,38.51955596609786,42.01404,-73.42121,646.2838262894991,BDL1
7504,5.3672849224504855,40.912,-74.14121,4159.993469280304,EWR8
7643,1.1432835418717502,40.84635,-74.03879,4013.831388017755,DEW1
7643,1.1432835418717502,40.84635,-74.03879,4013.831388017755,TBDB
7870,21.20065673266958,40.80535,-74.82303,12.07222015594428,DMC1
8691,2.032976117314971,40.20953,-74.59919,7751.87838448602,EWR1
8691,2.032976117314971,40.20953,-74.59919,7751.87838448602,EWR4
12059,86.37410488341133,42.61403,-74.05811,593.3758965716928,BDL1
12090,77.18339288450726,42.88073,-73.35624,1922.0513747805228,BDL1
12093,95.49918360869414,42.49599,-74.6262,417.7217515626025,AVP2
12093,95.49918360869414,42.49599,-74.6262,417.7217515626025,AVP3
12972,158.9082990670057,44.559,-73.56516,3028.9884749060916,BOS1
13460,95.2792501911512,42.68492,-75.45572,1380.9408144433355,VUGA
13675,203.9553651381684,44.28227,-75.83872,13.959707164053308,VUGA
13812,56.04258574667634,42.02993,-76.35461,774.0814452486368,VUGA
14445,150.3415403391781,43.11312,-77.48978,3008.182458886445,VUGA
15411,61.95573466004124,39.74724,-79.34344,234.97289255646544,PIT1
15857,106.97849041797991,41.45671,-78.53439,4449.796572189652,PIT1
15909,63.84898409206879,40.40783,-78.87047,1546.1958696971224,PIT1
16933,73.47030420698484,41.81904,-77.06716,2294.27395533839,VUGA
17311,31.732645035232633,39.81709,-76.84191,48.95028492127811,PHL4
17832,42.33953337108861,40.80554,-76.45499,210.39426184673897,XUSG
18334,14.30229332651936,41.07208,-75.44298,1593.2978536151893,AVP2
18334,14.30229332651936,41.07208,-75.44298,1593.2978536151893,AVP3
19061,11.267696024984021,39.82741,-75.432,7560.844510623252,ACY1
19319,17.524107901358157,39.92723,-75.52319,353.54577575581095,ACY1
19701,7.993975565575604,39.58427,-75.69914,17303.425087069165,PHL1
21035,16.27110332916781,38.93637,-76.63875,3611.6160155359908,SUOC
21660,35.13033573683156,38.95534,-75.88839,1568.0619524069464,PHL7
21723,17.277551810419464,39.32825,-77.01056,351.82050415744436,DDC2
22407,40.36656040198128,38.28581,-77.58055,23915.80950391616,FVA1
23881,21.779039759147434,37.1917,-76.98588,697.050259013757,RIC2
24325,94.98193741834748,36.80918,-80.60608,437.6639509955191,CLT3
25093,146.91702049303154,37.9653,-81.64137,48.971243792361214,CMH2
27326,68.46369138768011,36.45542,-79.55867,1147.725898335423,UNC2
27410,63.711974156983004,36.11826,-79.89223,22291.212012543998,CLT3
27536,36.58619860040304,36.32645,-78.40754,4898.886158973866,UNC2
27551,52.484284945755945,36.43339,-78.05231,624.1546556289358,UNC2
28103,34.34906555455078,35.0037,-80.35316,3711.166053751714,CLT3
28204,8.004930791160687,35.21469,-80.82677,5990.643249076383,CLT4
28384,66.74694803798336,34.79687,-78.95035,3051.0711514112154,RDU1
28689,44.81268679368148,36.04319,-80.93345,658.4767758866204,CLT3
29080,75.35564031353526,34.01525,-80.08374,681.3797285007664,CHS1
29125,58.73309071525937,33.70165,-80.47434,808.4648985148849,CHS1
29477,33.94036847571392,33.16626,-80.57176,2444.9301036055354,CHS1
29575,79.42750166509553,33.628,-78.97369,6064.682588972503,CHS1
30132,29.02077967725912,33.99042,-84.85279,18658.003322113207,CGA2
30523,44.38276582472791,34.72012,-83.54166,4389.214127232921,MGE1
30523,44.38276582472791,34.72012,-83.54166,4389.214127232921,MGE7
30813,99.40109126650768,33.47037,-82.2193,15732.84112847765,MGE1
30813,99.40109126650768,33.47037,-82.2193,15732.84112847765,MGE7
31066,42.86315536716814,32.80757,-83.98953,269.7921572303405,VUPN
31092,93.88359182365446,32.08984,-83.78304,1428.7990284744394,VUPN
32432,193.1000840947887,30.71415,-85.07727,0.0,VUPN
32666,54.55822368102509,29.72301,-81.99145,1553.0644405941005,JAX1
32814,9.89339536022478,28.57002,-81.32663,4640.122925033696,DM01
33716,12.902446933985972,27.8774,-82.65119,9531.450073877455,RFL3
33914,61.580228718297455,26.57052,-82.01944,13876.06351860334,DSR1
34476,62.79093914260912,29.08579,-82.19279,8085.6214561289,UFL4
34981,89.475092027111,27.39329,-80.37163,1662.8624205048268,MCO1
35120,39.500779356096935,33.66777,-86.42064,6158.133078753999,BHM1
37020,10.93140762238761,35.62563,-86.39927,1842.5575945751089,BNA3
37421,85.67148864106709,35.02915,-85.153,20232.203140814538,BNA3
37691,89.11425134044795,36.36792,-81.75519,196.94865645391764,CLT3
38104,9.122853726032345,35.13253,-90.00435,10952.060792742894,MEM1
38838,98.73830627834546,34.5448,-88.2643,216.3601718584274,MEM5
39428,191.02813948120584,31.65017,-89.57215,2560.5005817033802,BHM1
39474,205.49758627818156,31.61739,-89.85458,1575.4013443196238,BHM1
39662,235.93999460769086,31.38778,-90.29838,289.23637584062845,BHM1
40771,79.47920930923242,36.85942,-84.03459,617.0653514116351,SDF1
42322,96.29256852492615,37.62083,-87.38821,0.0,PISC
42322,96.29256852492615,37.62083,-87.38821,0.0,SDF6
42442,80.05827958686329,37.17408,-87.48652,894.3054806548412,RTN1
42442,80.05827958686329,37.17408,-87.48652,894.3054806548412,UTN1
43202,5.7092384676993415,40.02126,-83.01394,9134.97281860792,UOH2
43565,60.577357611632316,41.42044,-83.74011,103.48449721790772,DTW2
45224,11.952196714753484,39.20215,-84.53222,7733.962028824205,IVSA
46544,64.00636569317125,41.61778,-86.13715,11546.902054538872,VUHA
47392,58.0148952104207,39.91005,-84.94394,73.00542733941214,CVG2
47575,58.756641353677104,38.32314,-86.81128,425.36236902616525,IND6
48120,10.415174724324581,42.30524,-83.1718,2640.235701421037,DTW2
48529,37.56838522972887,42.97237,-83.66221,2935.9442714288125,DET2
49076,43.949237604201514,42.4309,-84.88657,1551.14822322536,GRR1
49084,62.252736290548214,42.18018,-86.3852,13.335213805618332,GRR1
50040,184.08647209532805,42.17363,-94.10121,65.5513246906327,MSP1
50436,106.62046165760098,43.26256,-93.66242,2194.0540550949995,MSP1
52755,167.40748483760885,41.48015,-91.43349,789.7738274198492,HMW1
53505,44.34834182160716,42.66063,-88.8176,151.84476081293948,MKE1
53551,47.756150631494236,43.07831,-88.91508,3506.589737928398,FWI1
54160,76.77020341559563,44.12029,-88.09895,97.64556142607995,FWI1
54448,161.61612059613873,44.93094,-89.83422,1544.6655756411408,FWI1
54842,123.46454514277939,46.49891,-91.86234,87.83621043230858,UMN1
55702,140.16926219233494,46.97121,-92.6448,145.54420819489818,UMN1
55764,162.33396958035365,47.33041,-93.29298,172.37293460964565,UMN1
55803,152.05689410186233,47.03398,-92.07104,7405.821932497927,UMN1
55971,97.46782472795037,43.81968,-91.75527,1041.9539776441488,DMS1
56556,224.8392126218475,47.66403,-95.88349,467.37509366359274,UMN1
57059,242.04845283580514,43.12476,-97.76365,500.79367915634657,MSP1
58230,278.60938339692905,47.49097,-97.82622,222.21481533290785,MSP1
58542,327.35358515509245,46.04976,-100.00269,72.72038220726867,MSP1
58785,435.00864229904096,48.31121,-101.09706,681.5835310694777,MSP1
59077,466.2779940990405,47.22224,-107.58999,17.331310002486017,GEG1
59472,298.2902007850516,47.37939,-111.17095,174.6127209556772,GEG1
59642,333.2456114740276,46.28045,-110.75624,5.443001695694703,GEG1
60050,15.49715979861276,42.32915,-88.29363,12217.98062165773,DCH4
60062,7.500340834897991,42.12663,-87.84235,18564.464764111995,DCH2
61561,63.59853349366927,40.80582,-89.20475,808.4040798472945,HMW1
61610,81.006387592246,40.64294,-89.59882,1645.3979939575534,Illinois
61704,45.14024669451233,40.46951,-88.94281,15842.42159374722,Illinois
62294,10.215758805285562,38.70374,-89.87242,6046.708202170169,STL4
63461,105.61795741858536,39.79757,-91.55577,1971.6709222710872,STL6
63461,105.61795741858536,39.79757,-91.55577,1971.6709222710872,STL7
63650,74.0326183181418,37.6103,-90.62994,1065.5028047179035,DLI1
65079,125.52787678646725,38.15283,-92.75225,1138.6274154382595,MKC6
66510,40.50748132484583,38.49297,-95.6104,200.93636143545325,XUSK
66773,104.3732623352222,37.26599,-94.81262,206.73268616567978,XUSK
67154,129.96397786702605,37.97079,-97.12117,461.2556984395488,XUSK
67448,132.6789166133157,38.65826,-97.40756,407.8597355957382,XUSK
67664,258.1671097453164,39.81609,-99.5875,115.35398746160475,XUSK
67671,225.8265948580882,38.87559,-99.14432,586.6119462333561,XUSK
68007,174.93344077120608,41.37184,-96.19524,7620.524104034264,MKC6
68183,162.14687585290272,41.25709,-95.93977,0.0,MKC6
68304,151.5161663877216,40.88971,-96.38781,143.97016061325402,MKC6
68428,169.20675085421175,40.97244,-96.79624,474.8878682093052,MKC6
68621,193.26439393058394,41.48963,-96.63911,51.69154172314207,MKC6
72064,95.3571972346971,34.79457,-91.61226,899.3414620331562,MEM1
72415,103.58221141993964,36.12643,-91.17745,329.84907303539603,MEM1
72536,128.63934206927206,36.14673,-91.76115,146.01500369676398,MEM1
72543,119.43574070618696,35.45528,-91.99407,4313.571027172554,MEM1
74135,105.5561059768266,36.09725,-95.92315,7745.2924704291545,OKC1
75494,85.3937682777056,32.90898,-95.26126,3847.4923763520637,VUPJ
75497,68.2145352011713,32.92098,-95.5764,1238.1998229477704,VUPJ
77027,4.7857443674776965,29.73919,-95.44609,11907.698237119976,RTX3
77801,52.17961329470912,30.63968,-96.36451,5496.017538974586,UTX2
77864,76.78554523417488,30.96087,-95.89297,2470.4857235100785,UTX2
77873,54.16898436720963,30.57489,-95.79934,376.145732570276,UTX2
78208,2.4909374924550622,29.4399,-98.45823,1300.8190776643794,UTX5
78343,132.061802093244,27.62163,-97.77216,1375.473486108099,UTX5
78561,207.24899790068403,26.4687,-97.91595,212.9494320728406,UTX5
78591,191.4542164509641,26.65351,-98.53408,69.3011867239752,UTX5
78838,73.3027140115127,29.53476,-99.70757,44.54885782086933,UTX5
78841,180.7127606957793,29.8459,-101.4653,0.0,UTX5
79607,147.26146148659805,32.42289,-99.83904,1180.3316474064445,DAL6
79607,147.26146148659805,32.42289,-99.83904,1180.3316474064445,UTX7
81431,219.26907620954756,38.13808,-108.51429,196.06305054448006,FCO4
82638,244.7262921516842,43.0667,-107.25585,17.93114959376037,DEN3
83623,233.14128237906488,43.04932,-115.39485,448.610494912451,SLC1
83806,74.44213087949572,46.88243,-116.37038,45.797157424577236,GEG1
84035,144.2623795976721,40.39024,-109.28208,196.49965542778375,DUT1
85204,6.974047403433913,33.39666,-111.78786,21609.637961742228,DPX3
85210,5.768237093020246,33.38955,-111.84337,14319.127041151629,DPX3
85310,16.74966697479078,33.69532,-112.17162,7613.182021441667,PHX7
87821,219.9844854835519,33.93515,-108.0929,172.81017659018417,DPX3
88024,315.5638364309067,32.06539,-106.61803,121.82906046442075,DPX3
89084,5.0617240695115004,36.29749,-115.1569,12826.969291738784,LAS6
90802,3.5954887042998145,33.75035,-118.21143,20377.830978151054,VUMX
93723,12.572879850716044,36.78693,-119.95271,4115.387930335784,FAT1
94103,0.6557474545883311,37.77299,-122.41136,19069.173324707357,RCA1
94158,0.7209105209443359,37.77116,-122.39153,7386.619107985552,UCA1
94925,9.639416348384314,37.92386,-122.5132,5628.981026914015,DSF6
98619,62.06873571753003,45.97693,-121.26568,203.7345868659511,PDX9
98857,81.44812794378447,46.98656,-119.03698,1158.572526277752,GEG1
1030,13.329554143059484,42.06869,-72.67967,4549.738303606753,BDL1
1339,51.73152499864705,42.61099,-72.88846,434.72743387948407,BDL1
1852,16.214707638054428,42.63231,-71.29538,14262.386040698795,BOS1
2921,21.417848409945893,41.76292,-71.51571,5367.224556648334,BOS7
3055,7.522470357656072,42.81783,-71.67361,6482.764220843086,BOS1
3601,49.64899492973731,43.23933,-72.29855,100.78332064415619,BOS1
3852,56.223467361420575,43.4982,-70.97547,66.14553890788807,BOS1
4010,84.65162505284945,43.93341,-70.91718,539.9116924288376,BOS1
4017,96.31394431025008,43.72974,-70.11317,204.99375624034244,BOS1
4042,73.65878505006609,43.62953,-70.62453,1701.7643370664248,BOS1
4259,125.08431839207084,44.22762,-70.00868,1251.9333424497158,BOS1
4268,109.49565592073829,44.22842,-70.60651,1494.1282010031741,BOS1
4764,292.63099723179045,46.36843,-68.34229,7.475729824920897,BOS1
5904,112.56262955628289,44.41597,-71.70762,51.991085457799805,BOS1
6037,14.148655377811949,41.61148,-72.7775,7636.941587476095,BDL2
6382,37.89500714141167,41.46137,-72.11762,3764.6096316143653,BDL2
6804,23.570342510067277,41.46731,-73.39232,7487.063553883928,DCN1
7029,6.1296412535773745,40.74377,-74.15389,8838.730546946157,UNJ1
8027,3.9180068983175333,39.82883,-75.29345,1793.3405579005212,ACY1
8203,53.05991734342086,39.41281,-74.38006,2924.2782358572617,ACY1
8904,10.386076201602489,40.50057,-74.42832,6842.765836269412,EWR6
8904,10.386076201602489,40.50057,-74.42832,6842.765836269412,EWR7
10044,2.076288021348789,40.76209,-73.94981,6419.849418958641,JFK7
10115,4.421460118664791,40.81085,-73.96374,0.0,JFK7
10153,1.219367592241143,40.76362,-73.97244,0.0,JFK7
10470,10.32543015944514,40.89598,-73.86805,5844.142844131142,EWR8
10958,40.28110322763181,41.3764,-74.42881,1133.739715035409,EWR8
12496,86.65847646262547,42.32669,-74.27256,380.2093268144593,BDL1
12543,43.837062581036314,41.48602,-74.22354,1246.4760865999951,EWR8
12915,189.42574613782588,44.8535,-74.035,18.022162937836956,BOS1
12979,177.3802557916901,44.98926,-73.37213,900.570810347277,BOS1
13159,102.99500678850112,42.80321,-76.11545,2024.900431609997,VUGA
13339,122.64962028672606,42.93995,-74.66631,1788.2625564134717,AVP2
13339,122.64962028672606,42.93995,-74.66631,1788.2625564134717,AVP3
15620,40.05106064262368,40.32336,-79.33882,236.57175688002832,PIT1
15658,47.179040900020745,40.25467,-79.22217,2885.393744467135,PIT1
15739,50.92351697212213,40.67875,-79.16454,131.10401950569354,PIT1
16423,67.02348975518066,42.01881,-80.34253,1452.7930713874682,CLE3
16686,57.69959581380544,40.67056,-78.24102,4505.141875094262,VUGP
17507,31.48921464203711,40.19806,-76.01624,65.28591091801229,XUSG
18625,12.83527605957226,41.51311,-75.85027,35.699277698710716,VUGA
19033,7.2841526796711875,39.89077,-75.32892,2892.1759469945127,ACY1
19472,15.064577689251207,40.34036,-75.58189,19.86545967302025,ABE3
20135,17.699410934100513,39.08602,-77.87659,1306.9757837723207,BWI4
20886,6.46887445994676,39.17952,-77.197,12846.299951491432,DDC2
21622,58.46246678846272,38.40821,-76.17381,92.02798628081332,DCA1
22015,5.066789730222126,38.78784,-77.28136,19639.758004754007,FVA1
22460,52.25772515780754,37.87612,-76.60692,546.9884400083764,UVA3
23830,13.10195456062823,37.02098,-77.39771,592.2401942373883,RIC1
23938,34.57485767463558,36.90541,-78.00464,100.76710661732172,RIC1
24168,97.5010265548647,36.73613,-79.94876,51.160117651942706,UNC2
25667,125.64422973957696,37.70619,-82.2738,138.13547641114766,LEX1
26761,33.26235521830363,39.27303,-78.6997,150.38059006703625,BWI4
29168,69.64852364423622,33.84848,-80.54483,775.5060246460297,CHS1
29596,66.36029564469831,34.74456,-79.83978,586.8117540047575,CLT3
32073,20.879895576602983,30.16766,-81.74069,14779.706150941833,JAX1
