zip,distanceFromNearestCenter,demandRegionLat,demandRegionLng,demand_score,nearestCenterCode
1450,12.424562003368314,42.61368,-71.56139,5435.0526074566,BOS1
1879,10.068714443401259,42.66626,-71.42911,4950.888797925554,BOS1
2451,10.16581451236723,42.39859,-71.2573,8597.931383470543,RMA3
2542,28.759413416347577,41.70194,-70.54824,259.0226594273732,BOS7
3104,15.665873061404,43.00926,-71.4411,15115.851950358538,BOS1
3860,88.77915458699067,44.0427,-71.12422,1435.1697381831173,BOS1
4236,118.96821445623874,44.19036,-70.14461,1655.2893790293258,BOS1
4471,280.9443916184709,45.8912,-67.8471,159.57858901782038,BOS1
5766,110.52269305051468,43.98833,-72.99072,209.59639524906632,BOS1
5769,111.4685872988016,43.91948,-73.11651,470.96217943284074,BOS1
5853,146.8935947766534,44.89499,-71.96167,271.33490832660516,BOS1
7644,1.4840895337106175,40.87836,-74.08145,8991.478135738262,EWR8
8015,18.415202269640275,39.92981,-74.53966,6642.436161982031,EWR1
8015,18.415202269640275,39.92981,-74.53966,6642.436161982031,EWR4
8511,10.464614091256928,40.04441,-74.55384,332.9899662864345,EWR1
8511,10.464614091256928,40.04441,-74.55384,332.9899662864345,EWR4
8550,6.567089469961642,40.28125,-74.61926,11148.534528484186,EWR1
8550,6.567089469961642,40.28125,-74.61926,11148.534528484186,EWR4
10962,13.820233873815516,41.04857,-73.96057,2077.9835083050993,EWR8
12459,78.81333869488374,42.23976,-74.6805,31.129895646522687,AVP2
12459,78.81333869488374,42.23976,-74.6805,31.129895646522687,AVP3
12736,46.95654834427738,41.85327,-75.01917,31.919912476918366,AVP2
12736,46.95654834427738,41.85327,-75.01917,31.919912476918366,AVP3
12749,45.01589729895836,41.69149,-74.82768,135.54476064338786,AVP2
12749,45.01589729895836,41.69149,-74.82768,135.54476064338786,AVP3
12844,116.9754189056778,43.49423,-73.64081,90.4038468771151,BOS1
12847,174.44334057604695,43.98698,-74.59024,220.8492420048832,BOS1
12916,205.13173193783575,44.83572,-74.5145,746.6464631062096,BOS1
12933,185.33282548739408,44.89118,-73.84512,2.82809638480553,BOS1
12956,133.4712937969358,44.09301,-73.49628,469.3039026888996,BOS1
13315,103.12932281604515,42.7438,-75.1385,393.5280849579153,AVP2
13315,103.12932281604515,42.7438,-75.1385,393.5280849579153,AVP3
13832,91.67147241906255,42.6531,-75.66286,164.73216383094004,VUGA
13864,72.93390222850404,42.29095,-76.39225,553.1171483908047,VUGA
14227,167.20915817477814,42.88402,-78.74665,8055.182550059978,CLE3
14738,122.8614109660369,42.04539,-79.05926,1168.3933042198794,PIT1
15445,45.302477364674914,39.87343,-79.65766,823.0672366131794,PIT1
16212,34.08291107685203,40.75239,-79.57795,86.15905832489858,PIT1
16365,107.96933036952066,41.83943,-79.15324,6003.401180058385,PIT1
16634,37.34148423584921,40.2105,-78.17308,96.24517340934402,VUGP
16673,50.28463984966649,40.30671,-78.39026,1735.363364845155,VUGP
16868,50.59446954511153,40.72725,-77.89066,613.4139615891986,PHL6
17314,34.317547199678245,39.75469,-76.32852,2113.8915224078332,DBA1
18642,2.14941806856117,41.35359,-75.77681,1669.7789777549133,VUGA
20662,24.123724806178068,38.43359,-77.19972,685.5583166269465,FVA1
21114,10.75887782655894,39.00967,-76.6839,11594.533967918223,SUOC
23108,38.840816663480936,37.65523,-76.73015,19.685198668619964,RIC2
23663,18.093183090417828,37.03216,-76.31589,4974.357022994053,ORF1
25159,111.07204123454459,38.50186,-81.7806,1280.9511549287427,CMH2
25243,111.47303282188471,38.67841,-81.48216,160.32002313146037,CMH2
25427,16.391459204860045,39.52608,-78.09098,5717.747582935817,BWI4
25907,169.08098233742322,37.8593,-81.07196,32.571993192372695,CLT3
26404,76.68947202787987,39.34636,-80.30996,41.52941674884292,PIT1
26815,88.30558176713454,38.48923,-79.35884,142.75242330708355,BWI4
27553,48.49909490829063,36.48047,-78.30643,529.2038162760504,UNC2
27976,16.9959314552055,36.48185,-76.34005,1323.1718851719568,UVA2
28359,82.3834105535706,34.58686,-79.05475,342.80430197741964,RDU1
28677,25.72305686097597,35.73743,-80.92272,12149.954109448357,CLT3
28730,40.71297580698312,35.52792,-82.37588,2206.6197205949766,GSP1
29579,87.84060692126138,33.76052,-78.91463,17712.59167793691,CHS1
29588,78.97189206365695,33.67112,-79.02574,14989.834897039702,CHS1
30310,2.7160834222912706,33.72695,-84.42726,9176.557728789447,RAT2
30310,2.7160834222912706,33.72695,-84.42726,9176.557728789447,RGA2
30738,84.40944590663311,34.79534,-85.47846,955.9670790649682,BNA3
31523,51.675354333368006,31.21113,-81.61519,5386.672968577229,JAX1
31527,44.60023402650291,31.07155,-81.42225,450.67305661895557,JAX1
32266,19.0235313838306,30.31648,-81.41177,3195.7636644843165,JAX1
32428,208.33301048705187,30.61797,-85.57154,5698.403068144116,BHM1
32784,39.480244992941635,28.97626,-81.7232,3225.891165050305,UFL4
32922,34.63438433328855,28.37252,-80.74279,5379.185991726215,MCO1
33101,1.1150674210508658,25.77976,-80.19877,0.0,FFL2
33101,1.1150674210508658,25.77976,-80.19877,0.0,RFL1
33840,9.238223703405456,28.00915,-81.90506,0.0,LAL1
33840,9.238223703405456,28.00915,-81.90506,0.0,TPA2
33860,13.833672744221376,27.8056,-81.99511,7895.6981269314265,LAL1
33860,13.833672744221376,27.8056,-81.99511,7895.6981269314265,TPA2
33873,34.60991631317178,27.56181,-81.77855,4235.031900114956,LAL1
33873,34.60991631317178,27.56181,-81.77855,4235.031900114956,TPA2
36602,194.5272081470817,30.69834,-88.03815,331.12629641061835,BHM1
36782,101.47879672826033,32.11684,-87.90996,551.6756996207306,BHM1
37318,46.85267411940468,35.17879,-85.97994,677.4012947031711,BNA3
37756,88.01217020591392,36.30165,-84.40704,901.7992173021429,SDF1
37881,120.89645643478453,36.39861,-83.34393,529.2559102318398,GSP1
38222,79.3475216372174,36.44512,-88.16288,547.5526689252698,RTN1
38222,79.3475216372174,36.44512,-88.16288,547.5526689252698,UTN1
38555,78.06978405722812,35.88956,-84.97537,7417.442744594292,BNA3
39346,123.59125023289303,32.96171,-89.089,506.143122278246,BHM1
39427,209.78291060845592,31.48693,-89.82701,260.44482338044486,BHM1
39462,190.9266110063096,31.22105,-89.05738,430.26516402747035,BHM1
39886,118.08823930742632,31.73469,-84.61554,362.6265832349357,VUPN
40077,15.87053668794019,38.49996,-85.43768,253.73212295902923,PISA
40077,15.87053668794019,38.49996,-85.43768,253.73212295902923,SDF8
40337,37.64003524562297,37.95286,-83.85644,1583.0980249213799,LEX1
40391,22.211683532142406,37.96969,-84.14507,12820.86164776096,LEX1
40741,69.02014775318118,37.13349,-84.11636,7330.924895321327,LEX1
41231,118.27321385604938,37.79447,-82.38903,280.25330643565934,LEX1
41568,140.59902400346743,37.50369,-82.05896,218.86342766652484,LEX1
43130,19.408673711172135,39.70013,-82.60992,22092.186178053867,CMH2
43932,35.40116843916604,40.53145,-80.74699,390.6601697520563,PIT1
45205,5.237402702748578,39.11057,-84.57518,6000.365290000025,IVSA
45719,52.28442731973944,39.39951,-82.1285,255.99403371875692,CMH2
46013,31.9844808171589,40.05021,-85.67829,6342.756846817806,DIN1
46377,27.199169838452075,41.19432,-87.34777,7.741442214835375,MDW7
46804,95.39756895097045,41.05421,-85.23913,12259.211125491525,IND1
47452,43.571873595766334,38.6422,-86.41901,1625.4969113664047,PISA
47452,43.571873595766334,38.6422,-86.41901,1625.4969113664047,SDF8
48009,12.013068886763799,42.54381,-83.21765,11456.252940503173,DET2
50122,172.8623562315324,42.30218,-93.3087,472.3691164076958,MSP1
50128,191.73898300868214,41.85173,-94.29853,107.43003649256956,MKC6
50255,206.5363081883352,41.45593,-92.33207,12.239633354788788,MKC6
51520,202.0218352983076,41.9692,-95.4593,58.39236453223461,MKC6
52245,170.09374631461108,41.67071,-91.50666,10132.178060964357,MDW9
52540,188.16574040778582,41.15769,-91.82281,361.9969539122674,HMW1
53588,107.06386762079592,43.18949,-90.08201,1445.6568715875283,FWI1
53589,62.884377905653544,42.92684,-89.21182,7850.735169191846,FWI1
54014,31.26888675900964,44.64578,-92.57048,752.2619309029262,DMS1
54430,153.77132974026,45.1395,-88.8872,26.406511971098634,FWI1
54435,177.18941700415982,45.35084,-89.44349,652.9066400747269,FWI1
55106,8.380656184453002,44.95743,-93.04679,17858.884061558783,UMN1
55316,15.595480955878756,45.17021,-93.39032,9366.815239619613,UMN1
55771,217.53974040677977,48.12398,-92.93101,510.00371696619504,UMN1
55940,65.34472385682353,43.89417,-92.80775,1069.1624244456386,DMS1
56311,139.40823549185683,45.89756,-95.89852,216.26017667536823,MSP1
56733,306.3467613061444,48.63342,-96.89149,146.94198779188778,UMN1
56751,290.4573166033973,48.80929,-95.76035,2050.1500148268174,UMN1
57235,187.97313521044572,45.06896,-97.31338,255.32099163838282,MSP1
57350,233.46397427293505,44.3948,-98.20037,5985.449673375508,MSP1
58330,345.4695689975437,48.44208,-98.48275,159.5111097475025,UMN1
58436,262.515103369135,46.08203,-98.58773,561.351032580133,MSP1
58466,266.51958336059766,46.61489,-98.36493,144.7546861581357,MSP1
60073,8.042430476994998,42.3516,-88.10597,20760.283270889056,DCH4
60470,25.316264942921052,41.16592,-88.63876,162.73748942594798,HMW1
60636,4.526356094625048,41.77578,-87.66909,8514.611100685028,TBD7
61074,100.83646887168966,42.12615,-90.13061,1278.9439677254486,MDW9
61490,107.36329190792277,41.18263,-90.26518,362.712492251712,HMW1
61755,65.22615658230467,40.52661,-89.33909,1844.1993753716445,Illinois
62053,48.16104405484941,39.31572,-90.65763,113.20079239848305,STL6
62053,48.16104405484941,39.31572,-90.65763,113.20079239848305,STL7
63745,99.18284913684145,37.25596,-89.65946,25.694084999548558,DLI1
64748,107.70685648384581,37.36497,-94.10017,394.2233874905262,XUSK
65280,93.35365496341983,39.23487,-91.75048,49.08652741705024,DLI1
65619,142.242702015232,37.12312,-93.38864,3669.841536118595,XUSK
65689,146.0101122074309,37.13665,-92.09794,1286.868835790054,DLI1
66552,58.03915015832358,39.58736,-95.621,241.02801766407285,MKC6
66865,81.44943381738632,38.2181,-96.27993,451.99810109055306,XUSK
67629,240.72505800909929,39.70199,-100.18031,15.375956000084635,DEN2
68756,272.72640048644325,42.18544,-97.97985,660.0575513828614,MKC6
68835,256.37638501289433,41.33326,-98.61769,171.25609355003337,MKC6
70002,297.30571122926483,30.0102,-90.16241,7795.514318017705,BHM1
70785,277.27807726288125,30.55621,-90.81858,7829.9214287954055,UTX3
72352,50.7346412386582,34.65562,-90.7344,3.9747190921170272,MEM1
72467,70.70629283698418,35.84223,-90.6776,416.10467033818304,MEM1
72569,112.633508769178,36.08121,-91.45817,175.11293276239596,MEM1
73021,61.416454042731296,35.33802,-98.67007,74.51296000628952,OKC1
73537,133.91059134050877,34.46994,-99.67189,153.74515549180214,OKC1
74460,91.44604935488988,35.50473,-95.96452,162.58607225450868,OKC1
74640,82.43524882047137,36.56589,-97.65032,79.68184268786459,OKC1
74845,96.06571916681767,35.25856,-95.88302,98.1616953339794,OKC1
75061,1.265823604567823,32.82607,-96.96563,17396.280868548325,UTX1
75093,7.582037078485907,33.03521,-96.80943,21349.651008031095,TBD6
75641,123.15959010584295,32.3846,-94.5757,26.66614383133018,VUPJ
76078,11.183160233051515,33.0896,-97.46647,3568.2399366565855,DFW7
76306,96.3838225113906,33.95237,-98.52745,4804.973471772984,FTW3
76306,96.3838225113906,33.95237,-98.52745,4804.973471772984,FTW4
77029,6.273292409188753,29.76382,-95.26326,4494.7095080776035,UTX3
80003,4.94734876451691,39.827,-105.06412,13561.979102113124,DEN6
80537,31.43797317580089,40.38304,-105.20277,18572.020630264793,DEN3
80654,43.109991179194495,40.13501,-104.07642,996.137101897874,DEN2
80721,149.86981695930206,40.68821,-102.15297,88.33145694896656,DEN2
83114,106.40190677595517,42.09736,-110.956,239.10448497887492,SLC1
83537,82.78842293830941,46.62877,-116.52348,324.133043613545,GEG1
84005,25.481350061032504,40.32277,-111.99942,14557.883421119985,DUT1
84028,86.02085691425513,41.93107,-111.38267,153.28711869930663,SLC1
84515,188.81585396040046,38.96824,-109.23876,0.0,DUT1
84753,132.80148908924753,37.95019,-113.87967,0.0,LAS7
85743,78.95740182478845,32.30501,-111.18548,10561.28862462301,DPX3
88416,298.4123200844044,35.44255,-104.21511,63.69135644430569,DEN2
91207,6.103948711389078,34.16872,-118.24477,4101.010362814894,UCA5
92282,27.903084591289712,33.96253,-116.65829,421.08297360894153,XUSV
92411,4.148251654789435,34.12214,-117.32291,6799.690539387712,KRB1
92411,4.148251654789435,34.12214,-117.32291,6799.690539387712,SNA7
92411,4.148251654789435,34.12214,-117.32291,6799.690539387712,SNA8
93220,79.28351142607833,35.3705,-118.78369,0.0,DLA4
95957,36.303755369503406,39.05366,-121.82379,258.2883384135935,DSM1
96034,192.67026465106292,41.44177,-122.60772,96.19232316097018,RNO4
97034,7.668791788282967,45.4095,-122.68467,9773.54229503472,DP01
97710,188.81099732026684,42.15095,-118.53902,16.048096890300723,RNO4
98201,1.2644512386304454,47.99373,-122.18563,13028.759602540855,DBO1
98201,1.2644512386304454,47.99373,-122.18563,13028.759602540855,DSE4
1057,24.166324913243507,42.09118,-72.32392,2873.3479813757153,BDL1
2356,12.337748599359161,42.05519,-71.12071,5393.812713712256,DB02
2702,2.5372591589521236,41.78452,-71.06112,1846.8736787142604,BOS7
2872,15.477750315847045,41.61718,-71.32886,44.66957239645619,BOS7
3086,12.419525099810299,42.82741,-71.76967,1628.4311101318021,BOS1
4102,85.90381075670045,43.65877,-70.30622,8001.907509396033,BOS1
6024,31.60357058499623,42.00812,-73.28374,168.51357311600697,BDL1
6089,7.115365830628626,41.83801,-72.82343,1844.8991003522797,BDL1
6103,7.798463098827816,41.76477,-72.67012,2107.5551013899917,BDL1
7040,9.242360653079151,40.73302,-74.27117,11409.177564434523,DYY6
7040,9.242360653079151,40.73302,-74.27117,11409.177564434523,JFK8
8097,3.715668484972665,39.81571,-75.15117,1102.3010383997193,ACY1
8741,27.616495530695303,39.93632,-74.16779,1091.8390429325575,EWR1
8741,27.616495530695303,39.93632,-74.16779,1091.8390429325575,EWR4
11221,1.2933811813822194,40.6914,-73.92764,37709.53971155151,UNY1
11232,3.595462269916751,40.65692,-74.00727,9774.14113746663,UNY1
11740,19.727099120062,40.86536,-73.36118,4275.552791197366,DCN1
12453,65.48861891994001,42.0929,-73.93629,40.85757735451383,BDL1
12495,80.91422761272408,42.08264,-74.24563,107.22842175124403,BDL1
13040,85.21721978182602,42.56033,-75.93029,900.4728919160123,VUGA
13669,229.87908378232007,44.65004,-75.49861,5499.593999213591,VUGA
14203,161.3224281039893,42.86244,-78.86507,1542.3697902340919,CLE3
14433,132.73064033914272,43.07939,-76.87779,1455.7867623081436,VUGA
15047,17.648973565948783,40.3123,-79.79513,36.40555634588419,PIT1
15746,66.94992555858417,40.75285,-78.87455,24.974845035769494,PIT1
16360,83.96775676629952,41.68167,-79.89028,437.6776670933398,CLE3
16631,47.37020157431042,40.27141,-78.34754,19.516227722688757,VUGP
17509,28.885315197681575,39.90923,-76.03073,1554.9110929836352,PHL1
17728,66.28597509306438,41.32546,-77.08215,1605.649066425295,VUGA
18020,17.07692225172104,40.67267,-75.32692,8755.325395013508,ABE1
18330,19.84742369355556,40.96505,-75.45285,2695.4590271396514,DMC1
18428,22.012668704337003,41.42946,-75.1253,4077.1984662282266,AVP2
18428,22.012668704337003,41.42946,-75.1253,4077.1984662282266,AVP3
19934,26.128697037744754,39.08135,-75.63113,4396.656899018765,PHL7
20003,6.779443215953289,38.88193,-76.99033,24536.634422861764,RVA1
20566,5.867541314476105,38.89667,-77.05536,0.0,RVA1
21043,8.819510321980465,39.25759,-76.79773,21962.233251069843,SUOC
21156,13.445961993845557,39.43752,-76.397,117.6711533170334,DBA1
21234,7.274637981012608,39.395,-76.53252,25787.700084825636,DBA1
22488,58.92833655092524,38.04986,-76.58796,212.91237728903582,UVA3
22737,45.89650566566989,38.59024,-78.00205,1001.6981231011029,FVA1
22820,62.600414832288365,38.74387,-79.00948,67.52620608632432,BWI4
