zip,distanceFromNearestCenter,demandRegionLat,demandRegionLng,demand_score,nearestCenterCode
1364,40.86066784161654,42.60449,-72.29263,2463.3909866510962,BOS1
2081,8.152793452191004,42.14689,-71.25916,8608.146392768534,DBO2
2126,3.8422262253122166,42.27588,-71.0918,8349.437749257138,DB02
2534,25.81983324149721,41.66626,-70.61628,351.215796019528,BOS7
2703,15.390517026705782,41.93108,-71.29499,17996.958080914268,BOS7
2828,24.999898780065845,41.87672,-71.56065,2753.4880378591115,BOS7
4050,92.91617690413487,43.69148,-70.15714,112.08282026808102,BOS1
4110,94.53616127991977,43.75834,-70.19905,794.2739341643778,BOS1
4739,322.13883517816686,46.97137,-68.61049,215.1038993401213,BOS1
4924,169.12063590265018,44.77922,-69.54967,682.9721134408763,BOS1
5153,71.02994991783112,43.42885,-72.63487,240.57641974714352,BOS1
5354,50.557478494041305,42.76211,-72.52553,846.6453763825796,BOS1
6401,7.854519574453747,41.34424,-73.06896,7014.794911420424,DBO3
8019,29.658138766187694,39.76733,-74.52781,399.7404844062745,EWR1
8019,29.658138766187694,39.76733,-74.52781,399.7404844062745,EWR4
8110,1.7698461774265104,39.97243,-75.06021,6099.8212389518885,DPH1
10110,0.41542892909126894,40.7545,-73.98226,0.0,JFK7
10451,5.9272662277793,40.82097,-73.92383,17515.173811330507,JFK7
10522,14.514083775796248,41.01221,-73.8646,5334.895071473081,EWR8
11103,3.8933659134652334,40.76261,-73.91334,16813.90002475398,JFK7
11565,14.282668590655724,40.67505,-73.67177,3910.881543922598,UNY1
12458,64.24387284428717,41.82273,-74.41666,1029.27411874789,DMC1
12572,60.61090825596052,41.92548,-73.8717,3719.0025926942294,BDL1
12974,130.7669955480595,44.05582,-73.46931,451.1818033719724,BOS1
13141,101.1527896874033,42.76684,-76.18616,239.16730132482635,VUGA
13244,118.0849009470492,43.02318,-76.12329,4378.891269224009,VUGA
13440,131.60645829647294,43.21807,-75.45941,15153.281062266167,VUGA
13638,185.89740857489824,44.02077,-75.75443,62.887205380121706,VUGA
13850,50.92856384921381,42.04873,-76.02663,8723.176957246284,VUGA
14069,163.30151848162365,42.59984,-78.62984,176.3992876119986,CLE3
14897,113.2977048391289,42.02949,-77.79076,246.18249797346016,VUGA
15085,19.256599404470688,40.38497,-79.72539,2862.1246684164794,PIT1
15851,76.71330899256756,41.10115,-78.90316,2302.0535473354703,PIT1
16029,32.68190708600052,40.87996,-79.84602,324.9166128777612,PIT1
16030,50.211744476519186,41.13619,-79.79699,78.28172263307556,PIT1
17257,0.6183294677868344,40.0508,-77.49027,11228.074487290343,VUGP
20688,49.61742202028052,38.33475,-76.46965,495.0208839927476,FVA1
21233,2.1246913882822995,39.29244,-76.60503,0.0,DBA1
22654,25.441274389998124,39.06863,-78.4586,303.8584977987305,BWI4
22713,51.75153565116714,38.54123,-78.13204,684.7724084763896,BWI4
23511,11.988556012252165,36.94,-76.30055,3072.7910084993496,ORF1
23832,13.78180996558545,37.39436,-77.59491,15430.436579192232,UVA3
24874,157.407622262165,37.60201,-81.53072,491.87044618538215,CLT3
25005,124.2381805526929,38.58201,-81.26982,91.05554933180638,CMH2
25035,138.26353374803085,38.16339,-81.52399,119.08926611373003,CMH2
25313,116.78803913953008,38.41547,-81.75704,4376.601977456444,CMH2
25443,17.44421016019021,39.43835,-77.81477,3050.4673988165905,BWI4
25512,119.5047475150476,38.17784,-82.32056,324.29110661641346,CMH2
26287,86.71622103510657,39.16657,-79.69057,867.0572772126733,BWI4
27311,66.17886038803861,36.48137,-79.47577,989.3233333155893,UNC2
27577,20.674671357973843,35.49166,-78.3446,8387.62643125857,RDU1
28472,98.21859033091927,34.29707,-78.68452,5353.978376031332,RDU1
29845,82.47511835197304,33.8231,-82.20788,347.7305555637888,GSP1
30223,9.800389968010483,33.28635,-84.28012,11892.116525484851,VUPN
30411,119.91729551600838,32.1254,-82.79362,858.3290561879126,VUPN
31303,78.18482634073834,32.49631,-81.30616,631.724595651791,CHS1
32692,104.08739723257338,29.32519,-83.15995,22.956936159251484,RFL3
33036,58.34826225135453,24.9227,-80.6385,1353.1580312634173,RMI1
33483,38.95334173515054,26.46157,-80.0638,6015.873741843165,DM11
34134,79.57326699355659,26.36634,-81.83503,6983.383417846202,DSR1
34145,83.01346121834312,25.91903,-81.69506,6094.853351318492,FFL1
34688,19.31466446541183,28.14445,-82.68543,3373.2412152441448,RFL3
35444,17.19233457747407,33.33474,-87.30387,1318.9316710487672,BHM1
35773,64.36683196813361,34.89431,-86.71282,4390.314362778021,BNA3
36908,126.97487455993775,31.89818,-88.30807,557.1231642338188,BHM1
37064,21.366151397684973,35.88966,-86.96112,27369.49559432239,RTN1
37064,21.366151397684973,35.88966,-86.96112,27369.49559432239,UTN1
37845,98.14117571457524,36.10369,-84.45022,22.656593900771725,SDF1
38506,53.83949518653238,36.18334,-85.44246,10354.729407550803,BNA2
38585,53.090288019566096,35.68995,-85.42274,1335.648444993363,BNA3
38645,60.537370037003825,34.2469,-90.47663,248.8851139719951,MEM1
39301,119.34486141454427,32.27289,-88.59226,6640.35773499141,BHM1
