,lat,lng,demand_score
0,42.06262,-72.62521,6143.246616160633
1,42.37633,-72.46462,10804.892302194741
2,42.39135,-72.52327,6408.3390092273785
3,42.42117,-72.10655,1885.0091402233074
4,42.28163,-72.40009,6238.47264927372
5,42.18234,-72.95819,479.6212507432186
6,42.21133,-72.34189,326.24353973987536
7,42.12904,-72.20597,1422.4117871669173
8,42.30233,-72.96448,407.790112266089
9,42.38495,-72.84675,135.7999753895045
10,42.16059,-72.60788,8289.601688763665
11,42.17618,-72.56538,11062.81400249576
12,42.19721,-72.54249,1029.981671309415
13,42.46858,-72.92296,370.98574085087415
14,42.29506,-72.74303,6934.332683711532
15,42.05967,-72.49899,6258.573521281045
16,42.19402,-73.05067,254.0937084398367
17,42.06869,-72.67967,4549.738303606753
18,42.32782,-72.19191,567.6364894040929
19,42.45313,-72.81965,190.09439597570332
20,42.26082,-72.50361,2612.4665475217103
21,42.0826,-72.95611,811.4757999977509
22,42.35563,-72.5692,2237.486468189278
23,42.0638,-72.4157,1815.2875368039283
24,42.37063,-72.19466,167.0248337807961
25,42.38466,-72.60559,1013.736183192758
26,42.41049,-72.69188,652.0482662965019
27,42.21251,-72.64109,12842.49067121725
28,42.29092,-72.87526,940.851163256685
29,42.35205,-72.71032,649.0943583910669
30,42.47381,-72.48768,647.1147957288233
31,42.19211,-72.45805,7713.431570024663
32,42.09118,-72.32392,2873.3479813757153
33,42.32218,-72.63126,6690.445511432661
34,42.32146,-72.69244,3484.9519503554684
35,42.31962,-72.63951,939.8496322066757
36,42.40742,-72.64032,23.22920558811755
37,42.35125,-72.04776,566.0712207122967
38,42.18798,-72.30578,3085.688816502898
39,42.51958,-72.92504,205.74954031568976
40,42.16029,-72.8598,482.5723763197119
41,42.46327,-72.41893,536.9151684847421
42,42.23084,-72.73856,2458.709194843654
43,42.3837,-72.10021,218.67061924885678
44,42.25672,-72.57928,7768.139960170237
45,42.05441,-72.77851,3644.236391465222
46,42.18508,-72.33406,96.45305492856896
47,42.18228,-72.36515,907.2654486832976
48,42.06232,-72.23085,677.6538480641686
49,42.29816,-72.27676,4013.6208025894944
50,42.20652,-72.19906,990.6392060777004
51,42.38589,-72.88165,38.020586463658105
52,42.15375,-72.76961,16069.114712209945
53,42.38981,-72.6465,321.39790355882815
54,42.12532,-72.65025,11236.150792187651
55,42.20008,-72.23715,440.0487539470823
56,42.44335,-72.65099,61.168996249251116
57,42.36481,-72.13548,17.253865401356457
58,42.12763,-72.42994,6274.88449038773
59,42.40968,-72.77213,1042.3044340654849
60,42.17722,-72.83175,17.08930330358339
61,42.39551,-72.94315,396.63045380288895
62,42.10443,-72.58997,1067.4750730059568
63,42.13326,-72.56733,7330.623864030115
64,42.09911,-72.57865,4016.481867218078
65,42.04877,-72.57163,7207.635089144798
66,42.12116,-72.60642,3738.32089809863
67,42.0814,-72.55866,9208.678894127694
68,42.11839,-72.54876,9731.312012683162
69,42.09476,-72.5253,5625.454489246102
70,42.12452,-72.51126,4971.740780497345
71,42.09497,-72.48806,1123.4381917643113
72,42.1211,-72.4877,2353.057144773759
73,42.10189,-72.59091,0.0
74,42.15294,-72.50883,3203.900883766517
75,42.45614,-73.28114,16608.382172989823
76,42.62686,-73.11873,2890.57069968377
77,42.06242,-73.32146,201.56787450990268
78,42.31118,-73.09835,953.7473140104353
79,42.50622,-73.19841,60.824020094116975
80,42.56385,-73.1512,1181.8887950424858
81,42.47954,-73.15329,2333.919484072989
82,42.29411,-73.35227,73.4606088236596
83,42.18197,-73.34244,3454.7214201770585
84,42.43181,-73.07336,839.3435255970817
85,42.26923,-73.37999,547.2372149471797
86,42.5529,-73.25373,812.1255766748353
87,42.30072,-73.22553,2046.9156930930012
88,42.37567,-73.26466,1788.6296895651726
89,42.3334,-73.24967,42.621524216799415
90,42.34752,-73.03467,73.17896425039979
91,42.10924,-73.27475,63.083243380322095
92,42.19043,-73.21579,325.11301190082094
93,42.69813,-73.09264,5281.481044362462
94,42.20751,-73.1118,396.60169198152045
95,42.37972,-73.36608,365.8395047427011
96,42.1068,-73.12213,280.5968880942841
97,42.59627,-73.01958,245.26851396324435
98,42.0976,-73.37241,806.4741298789527
99,42.09396,-73.46616,77.74244916128227
100,42.07316,-73.23282,328.2811465955776
101,42.26663,-73.2712,6.038032271530844
102,42.30433,-73.32013,508.01781368228336
