Location,Code,Type,Address,Latitude,Longitude
Alabama,BHM1,FC,"975 Powder Plant Rd, Bessemer, AL 35022, United States",33.3754879,-87.009997
Alabama,MOB5,DC,"6735 Trippel Rd, Theodore, AL 36582, United States",,
Arizona,SAZ1,FC,"3333 S 7th St., Phoenix, AZ 850401182 , Maricopa County",,
Arizona,TUS2,FC,"6701 S. Kolb Rd., Tucson, AZ 85756 , Pima County",,
Arizona,DPX1,FC,"500 S. 48th Street, Phoenix, AZ 85034",,
Arizona,DPX3,FC,"7 E Chandler Blvd, Chandler, AZ 85225",33.3060861,-111.8411884
Arizona,PHX3,FC,"6835 W. Buckeye Rd. Phoenix, AZ, 85043",,
Arizona,PHX5,FC,"16920 W. Commerce Drive, Goodyear, AZ 85338",,
Arizona,PHX6,FC,"4750 W. Mohave Street, Phoenix, AZ 85043",33.43253,-112.1647528
Arizona,PHX7,FC,"800 N. 75th Avenue, Phoenix, AZ 85043",33.4570786,-112.2253997
Arizona,PHX8,FC,"800 N. 75th Ave Phoenix, AZ, 85043 – Maricopa County",,
Arizona,PHX9,FC,"777 S 79th Avenue, Tolleson, Maricopa County, AZ 85353 Arizona",33.441043,-112.2272822
Arizona,RAZ1,FC,"22 W Washington St, Phoenix, AZ 85004",,
Arizona,RPX1,FC,"7 W Broadway Rd, Phoenix, AZ 85040",33.4066369,-112.0735465
Arizona,TFC1,FC,"5050 W. Mohave Street, Phoenix, AZ 85043",33.43118,-112.1594932
Arizona,UAZ1,FC,"Phoenix, AZ 85001",,
Arizona,XUSH,FC,"7037 West Van Buren Street, Pheonix, AZ 85043",,
California,ONT3,FC,"1910 & 2020 E Central Ave. San Bernardino, CA, 92408 – San Bernardino County",,
California,ONT4,FC,"1910 & 2020 E Central Ave. San Bernardino, CA, 92408 – San Bernardino County",,
California,ABE7,FC,"12510 Micro Dr, Mira Loma, CA 91752",,
California,CCO1,FC,"7300 Central Ave, Highland, CA 92407",34.121136,-117.217543
California,DAV1,FC,"1 Shields Ave, Room 182, Davis, CA 95616",,
California,DCA2,DC,"5250 Goodman Road, Eastvale, CA 92880 – Riverside County",,
California,DCK1,FC,"123-127 E Yosemite Ave, Manteca, CA 95336",37.797596,-121.1912779
California,DLA1,FC,"900 W Florence Ave., Inglewood, CA 90301",,
California,DLA2,FC,"5650 Dolly Ave., Buena Park, CA 90621",33.880236,-118.0072962
California,DLA3,FC,"5829 Smithway St., Commerce, CA 90040",34.0051435,-118.1470977
California,DLA4,FC,"9031 Lurline Ave., Chatsworth, CA 91311",34.2346892,-118.5849647
California,DLA5,FC,"6250 Sycamore Canyon Blvd., Riverside, CA 92507",,
California,DLA7,FC,"13271-13299 Central Ave, Chino, CA 91710",,
California,DLA8,FC,"2815 W. El Segundo Blvd., Hawthorne, CA 90250",33.9165486,-118.3231704
California,DLA9,FC,"2900 Alton Pkwy, Irvine, CA 92606",33.6818702,-117.8129389
California,DPS1,FC,"3956-3998 Rosemead Blvd, Rosemead, CA 91770",,
California,DSD1,FC,"7130 Miramar Rd. 300A, San Diego, CA 92121",,
California,DSD2,FC,"2777 Loker Ave W., Carlsbad, CA 92010",33.1314972,-117.2563286
California,DSD3,FC,"725 E 8th St, NationalCity, CA 91950",,
California,DSF1,FC,"990 Beecher St., San Leandro, CA 94577",,
